,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
1052,Control_A_3-4.jpg,224,48,20.0,0.0,15.222222,5.397759,20.0,-0.32910500000000004,-1.190658,26.0,0.0,15.864198000000002,6.173926,67.0,-1.000913,-4.472126
4399,20191128_191028_HDR_2.jpg,84,30,2.0,5.0,-0.91358,1.6791939999999999,2.0,0.22571599999999997,-1.557341,3.0,5.0,-0.8888889999999999,1.8189669999999998,62.0,-1.040093,-6.680494
4785,20191128_190652_HDR_2.jpg,121,31,4.0,8.0,2.864198,2.609352,4.0,0.22245399999999999,0.301333,11.0,8.0,5.271605,4.265892,99.0,-1.224742,-5.782946
3778,20191128_191356_HDR_2.jpg,96,36,13.0,3.0,7.777778,4.853407,13.0,-0.33551,-1.652882,16.0,3.0,7.802469,5.136218,85.0,-1.15795,-5.497775
4954,20191128_192315_HDR_2.jpg,98,37,9.0,7.0,6.3456790000000005,3.897326,9.0,-0.186617,-0.6939069999999999,18.0,7.0,7.160494,5.095282,101.0,-1.2328459999999999,-5.865705999999999
4874,20191128_190652_HDR_2.jpg,54,47,6.0,7.0,1.024691,3.5831410000000004,6.0,-0.111799,-2.047543,10.0,7.0,1.185185,3.9600199999999997,97.0,-1.2296040000000001,-6.996577
4966,20191128_192402_HDR_2.jpg,131,40,7.0,3.0,5.17284,2.6283830000000004,7.0,0.017362,-0.36557399999999995,12.0,3.0,5.641975,3.6014699999999995,75.0,-1.099335,-5.5710180000000005
6253,20191128_192218_HDR_2.jpg,86,31,22.0,1.0,15.493827,6.836942999999999,22.0,-0.396596,-1.334471,29.0,1.0,15.814815,7.617574,82.0,-1.103306,-4.638637999999999
4592,Control_2_Bregma_-3.12_PS_(1x).jpg,173,37,20.0,0.0,14.753085999999998,5.4195139999999995,20.0,-0.402341,-1.533125,24.0,0.0,15.049382999999999,6.001854,88.0,-1.145707,-5.142219
5507,20191128_190910_HDR_2.jpg,122,31,7.0,8.0,2.987654,4.503754,7.0,-0.17286500000000002,-1.262679,13.0,8.0,3.666667,4.708804,102.0,-1.244183,-6.810262
2687,20191128_191320_HDR_2.jpg,68,41,5.0,5.0,1.222222,2.69888,5.0,0.06372699999999999,-1.106485,10.0,5.0,1.679012,3.915235,90.0,-1.191806,-6.150047
297,20191128_190910_HDR_2.jpg,70,40,7.0,10.0,2.1728400000000003,4.2098949999999995,7.0,-0.193195,-1.538058,10.0,10.0,2.407407,4.74479,88.0,-1.186145,-5.978477
1962,Control_A_-4.08.jpg,97,81,17.0,42.0,11.37037,10.554321,17.0,-0.20509000000000002,-0.8087949999999999,50.0,42.0,17.888889000000002,15.555556,68.0,-0.98014,-4.138747
2588,20191128_192514_HDR_2.jpg,106,30,14.0,0.0,11.987654,3.4300550000000003,14.0,-0.106018,-0.44102299999999994,20.0,0.0,13.185185,4.666961,70.0,-1.0324790000000001,-4.91412
1687,20191128_191134_HDR_2.jpg,54,39,7.0,2.0,4.9135800000000005,2.520031,7.0,-0.006451999999999999,-0.5623779999999999,13.0,3.0,6.209877,3.8512980000000003,75.0,-1.100437,-5.464017
2327,20191128_190652_HDR_2.jpg,84,33,10.0,1.0,6.3456790000000005,3.326513,10.0,-0.12702,-0.93196,11.0,2.0,5.9259260000000005,3.4202660000000003,102.0,-1.234616,-5.93084
3140,20191128_192514_HDR_2.jpg,172,46,6.0,7.0,3.962963,3.3571169999999997,6.0,0.075309,-0.08036900000000001,13.0,7.0,5.888889,4.669311,68.0,-1.059383,-4.972966
6233,20191128_191028_HDR_2.jpg,68,36,5.0,4.0,1.259259,2.220987,5.0,0.009762,-1.402957,8.0,4.0,1.37037,2.466789,64.0,-1.0470899999999999,-5.9072830000000005
4178,Control_A_-2.76.jpg,71,60,18.0,3.0,11.641975,5.24065,18.0,-0.410261,-2.108878,23.0,3.0,12.0,5.517648,83.0,-1.132652,-5.680502
2403,20191128_192922_HDR_2.jpg,111,30,8.0,13.0,4.617284,5.0590779999999995,8.0,-0.23664899999999997,-0.9156709999999999,14.0,13.0,5.493827,5.9423639999999995,73.0,-1.103141,-4.997998
2205,Control_A_-2.28.jpg,116,39,10.0,10.0,5.271605,5.588817,10.0,-0.123231,-0.9592360000000001,33.0,10.0,7.098764999999999,8.233633,54.0,-0.940516,-4.511018
1154,Control_A_-4.08.jpg,136,36,1.0,95.0,-4.9259260000000005,14.451945000000002,1.0,-0.110069,-0.34812,30.0,95.0,4.950617,19.70392,59.0,-1.001074,-3.8296949999999996
729,20191128_191500_HDR_2.jpg,82,48,14.0,5.0,8.160494,5.0928580000000006,14.0,-0.27568000000000004,-1.293491,18.0,6.0,7.851852,5.409436,91.0,-1.178247,-5.429996
5021,20191128_191203_HDR_2.jpg,44,56,11.0,8.0,5.567901,5.2303440000000005,11.0,-0.325371,-1.546249,16.0,8.0,6.3456790000000005,6.220556,70.0,-1.082483,-5.020314
2998,Control_3_Bregma_-2.jpg,158,43,5.0,16.0,-0.9382719999999999,6.254569999999999,5.0,-0.187996,-1.287577,8.0,15.0,0.0,6.440612000000001,62.0,-1.0438399999999999,-5.881117
1946,20191128_191647_HDR_2.jpg,153,33,7.0,8.0,4.135802,4.2215,7.0,-0.178799,-0.8426790000000001,13.0,8.0,5.407407,5.0960589999999995,90.0,-1.189016,-6.027106
5577,Control_A_3-4.jpg,194,38,16.0,3.0,10.987654,6.139316,16.0,-0.360019,-1.241414,29.0,3.0,12.024691,6.921028,61.0,-0.986683,-4.4424339999999995
3605,20191128_191203_HDR_2.jpg,127,40,11.0,6.0,7.419753,5.492676,11.0,-0.24298899999999998,-0.724716,23.0,6.0,9.901235,8.011727,81.0,-1.129501,-4.853488
6254,20191128_191500_HDR_2.jpg,151,44,15.0,0.0,11.419753,4.186587,15.0,-0.2301,-1.014583,20.0,1.0,11.197531,4.667777,112.0,-1.262504,-5.927601999999999
3737,20191128_191203_HDR_2.jpg,76,31,14.0,1.0,9.567900999999999,5.0551,14.0,-0.283823,-1.048254,22.0,1.0,11.012346,6.4778709999999995,82.0,-1.1298290000000002,-4.90459
6206,20191128_192218_HDR_2.jpg,75,32,22.0,2.0,14.074074,7.348096000000001,22.0,-0.570149,-2.027086,27.0,2.0,14.753085999999998,7.732457000000001,82.0,-1.136123,-4.922626999999999
6263,Control_A_3-4.jpg,218,45,7.0,10.0,2.580247,4.812187000000001,7.0,-0.125354,-0.930104,13.0,10.0,3.8148150000000003,5.635231,54.0,-0.96859,-4.633783
4374,20191128_192514_HDR_2.jpg,59,54,5.0,8.0,2.345679,3.535221,5.0,0.045456,-0.227215,11.0,8.0,3.5061730000000004,4.750889,58.0,-0.995417,-4.738894999999999
468,20191128_191558_HDR_2.jpg,80,57,9.0,4.0,4.17284,3.6133839999999995,9.0,-0.127252,-1.109191,13.0,4.0,4.3456790000000005,4.131064,74.0,-1.097756,-5.279873
3588,Control_3_Bregma_-2.jpg,132,36,8.0,6.0,4.308642,3.753655,8.0,-0.117881,-0.8506309999999999,12.0,6.0,5.148148,4.216696,65.0,-1.043259,-4.934315
1101,20191128_191558_HDR_2.jpg,118,34,8.0,7.0,4.0740739999999995,4.351182,8.0,-0.208052,-1.069972,13.0,7.0,4.975308999999999,5.015963,86.0,-1.172771,-5.479025
593,Control_A_3-4.jpg,46,85,11.0,1.0,6.950617,3.3734669999999998,11.0,-0.175611,-1.367011,13.0,1.0,7.098764999999999,3.581864,52.0,-0.9270079999999999,-4.85532
3142,20191128_191134_HDR_2.jpg,87,27,6.0,6.0,3.407407,2.729708,6.0,0.003654,-0.812634,10.0,7.0,3.345679,3.166805,79.0,-1.1330639999999998,-5.889799
2458,Control_A_-2.76.jpg,67,60,16.0,5.0,10.246914,5.049217,16.0,-0.077098,-1.0688090000000001,23.0,6.0,10.160494,5.509715,80.0,-1.087114,-5.186792
3498,Control_A_-4.08.jpg,38,97,16.0,30.0,11.271605000000001,9.468613000000001,16.0,-0.359734,-0.9789049999999999,43.0,30.0,17.320988,13.70575,63.0,-0.9719969999999999,-4.148058
393,20191128_192452_HDR_2.jpg,78,37,3.0,7.0,1.148148,2.414519,3.0,0.206746,-0.000452,10.0,6.0,2.432099,3.6343300000000003,62.0,-1.034505,-5.124182
4138,20191128_192514_HDR_2.jpg,93,31,7.0,8.0,4.679012,4.060734,7.0,-0.182118,-0.5936100000000001,14.0,8.0,6.888889,5.515411,63.0,-1.027444,-4.836043
3510,20191128_192452_HDR_2.jpg,86,33,2.0,7.0,0.407407,2.448369,2.0,0.06640800000000001,-0.28867600000000004,10.0,6.0,2.9629630000000002,3.914028,63.0,-1.035735,-5.741473
3339,20191128_191647_HDR_2.jpg,194,58,11.0,3.0,8.333333,4.009249,11.0,-0.204282,-0.7344569999999999,19.0,3.0,9.901235,5.203524,100.0,-1.218509,-5.593624
4937,Control_3_Bregma_-2.jpg,73,54,6.0,9.0,0.654321,4.516528,6.0,-0.19525399999999998,-1.6602029999999999,12.0,9.0,1.296296,5.129061,58.0,-1.013325,-5.907932
3269,Control_3_Bregma_-2.jpg,142,37,4.0,16.0,-1.419753,5.470153,4.0,-0.178374,-1.449206,9.0,15.0,-0.37037,6.1331809999999995,61.0,-1.049849,-5.501474
80,Control_3_Bregma_-2.jpg,113,36,13.0,2.0,8.08642,3.8847519999999998,13.0,-0.256301,-1.5543850000000001,17.0,1.0,9.012346,4.347537,70.0,-1.060801,-5.241825
1950,20191128_191349_HDR_2.jpg,110,43,33.0,17.0,23.91358,11.489338,33.0,-0.514844,-1.533444,43.0,16.0,24.333333,12.064641,85.0,-1.077713,-4.346743
5681,20191128_192452_HDR_2.jpg,82,35,3.0,5.0,1.518519,2.079358,3.0,0.183416,-0.010302,10.0,4.0,3.333333,3.413843,63.0,-1.038108,-5.124693
1315,20191128_192315_HDR_2.jpg,124,46,12.0,9.0,8.419753,4.870836,12.0,-0.157975,-0.688159,17.0,8.0,9.419753,5.395161,108.0,-1.250687,-5.655558999999999
5948,20191128_192922_HDR_2.jpg,84,34,8.0,8.0,4.876543,4.367056,8.0,-0.127589,-0.7159300000000001,14.0,7.0,6.061728,5.224221,69.0,-1.068071,-5.1071599999999995
5488,20191128_191420_HDR_2.jpg,76,64,31.0,21.0,18.283951000000002,12.770756,31.0,-0.662977,-2.100403,42.0,21.0,19.098765,13.409601,85.0,-1.1286610000000001,-4.530377
1669,Control_A_3-4.jpg,177,34,5.0,16.0,1.432099,4.773741,5.0,0.07409299999999999,-0.350508,8.0,16.0,1.9012349999999998,5.1821269999999995,49.0,-0.926391,-4.421952
35,Control_3_Bregma_-2.jpg,174,50,7.0,11.0,1.876543,5.466808,7.0,-0.21599699999999997,-1.289521,11.0,10.0,2.777778,5.885743,64.0,-1.0493190000000001,-5.623101999999999
883,20191128_191203_HDR_2.jpg,146,50,10.0,9.0,5.209877,6.357101999999999,10.0,-0.293435,-0.956535,15.0,10.0,5.765432,7.5918600000000005,81.0,-1.141661,-5.38853
3678,20191128_192218_HDR_2.jpg,45,49,7.0,16.0,-0.592593,6.512624,7.0,-0.34171799999999997,-1.484791,9.0,18.0,-0.22222199999999998,6.899633000000001,60.0,-1.038569,-5.176227
1401,Control_A_-4.08.jpg,176,28,0.0,82.0,-6.555556,17.168015,0.0,-0.396395,-0.999014,36.0,81.0,2.703704,21.89055,66.0,-1.104522,-4.442277
1536,20191128_192514_HDR_2.jpg,74,41,10.0,4.0,7.222222,3.7614019999999995,10.0,-0.134471,-0.563651,17.0,4.0,8.580247,5.232529,64.0,-1.021021,-4.730557
1332,20191128_191320_HDR_2.jpg,173,60,9.0,7.0,5.148148,4.269071,9.0,-0.229618,-1.553221,14.0,7.0,5.469136,5.096807,111.0,-1.276851,-6.924611
4797,Control_3_Bregma_-2.jpg,167,47,5.0,14.0,-0.777778,5.624023,5.0,-0.156343,-1.1114760000000001,9.0,13.0,0.123457,5.86764,62.0,-1.039896,-5.437713
2767,20191128_191134_HDR_2.jpg,127,43,6.0,13.0,1.555556,5.05525,6.0,-0.162471,-1.195826,13.0,12.0,2.3209880000000003,5.2724,84.0,-1.1627379999999998,-7.005232
1635,Control_3_Bregma_-2.jpg,100,37,6.0,7.0,1.283951,4.208265,6.0,-0.06577999999999999,-1.0377530000000001,10.0,7.0,1.864198,4.855322,61.0,-1.021944,-5.59085
2640,20191128_191647_HDR_2.jpg,100,30,4.0,7.0,1.111111,2.7888669999999998,4.0,0.043582,-0.540208,12.0,6.0,1.864198,4.033052,75.0,-1.118886,-5.473589
417,20191128_190910_HDR_2.jpg,99,28,8.0,10.0,3.049383,5.045230999999999,8.0,-0.16253499999999999,-1.108317,12.0,9.0,3.925926,5.211047,99.0,-1.228904,-6.320266999999999
5205,20191128_192922_HDR_2.jpg,103,30,8.0,23.0,4.493827,5.249629,8.0,-0.092262,-0.868165,16.0,24.0,5.259258999999999,6.159962,72.0,-1.083927,-5.0832
6013,Control_A_3-4.jpg,137,30,11.0,2.0,7.4938270000000005,4.289301999999999,11.0,-0.23175700000000002,-0.944384,15.0,2.0,7.962963,4.733501,54.0,-0.948867,-4.539104
1513,20191128_191349_HDR_2.jpg,116,43,24.0,17.0,16.234568,11.177878999999999,24.0,-0.510645,-1.3675059999999999,31.0,17.0,16.444444,11.750492999999999,77.0,-1.079497,-4.248147
6001,20191128_192452_HDR_2.jpg,33,71,3.0,7.0,-0.567901,2.292975,3.0,0.13963699999999998,-1.218806,5.0,7.0,-0.567901,2.931052,51.0,-0.954807,-6.158873000000001
2218,20191128_191558_HDR_2.jpg,210,76,10.0,1.0,6.518519,3.410626,10.0,-0.184313,-1.2716180000000001,16.0,1.0,7.123457000000001,4.3868,106.0,-1.251729,-6.222887
3271,Control_A_-4.08.jpg,152,32,31.0,47.0,23.432098999999997,18.365251,31.0,-0.710802,-1.618308,61.0,47.0,32.604938,23.438745,91.0,-1.088777,-4.048193
4301,20191128_191500_HDR_2.jpg,166,50,8.0,9.0,5.209877,3.9774550000000004,8.0,-0.012818000000000001,-0.331741,16.0,10.0,6.111111,4.8787769999999995,109.0,-1.263098,-5.76714
4251,20191128_191203_HDR_2.jpg,73,33,12.0,3.0,7.6666669999999995,5.106278,12.0,-0.28823699999999997,-1.04938,19.0,3.0,8.925925999999999,6.7050339999999995,79.0,-1.124369,-4.9785129999999995
2089,20191128_191118_HDR_2.jpg,89,37,4.0,6.0,1.740741,2.934586,4.0,0.090491,-0.444611,11.0,5.0,3.5061730000000004,4.629811,67.0,-1.050389,-7.183892
1575,20191128_192218_HDR_2.jpg,96,32,13.0,10.0,8.246914,6.157462000000001,13.0,-0.36375599999999997,-1.256652,30.0,10.0,10.0,8.399001,74.0,-1.1031389999999999,-4.76821
3645,20191128_191647_HDR_2.jpg,173,44,13.0,3.0,10.123457,4.372706,13.0,-0.153056,-0.58748,21.0,3.0,11.987654,5.882583,99.0,-1.198547,-5.638602
4558,20191128_191500_HDR_2.jpg,123,37,20.0,0.0,14.506173,5.237857,20.0,-0.385062,-1.614374,24.0,0.0,14.506173,5.4999970000000005,110.0,-1.248311,-5.7946919999999995
4875,20191128_191118_HDR_2.jpg,66,40,8.0,7.0,3.987654,3.936201,8.0,-0.21001399999999998,-2.421306,15.0,7.0,4.679012,5.376738,67.0,-1.062973,-8.00602
540,20191128_191028_HDR_2.jpg,74,36,3.0,6.0,-0.296296,2.511428,3.0,0.315372,-0.723967,7.0,6.0,0.691358,3.434185,62.0,-1.025495,-6.370331
5257,20191128_190910_HDR_2.jpg,117,32,11.0,4.0,7.925926,3.892943,11.0,-0.192923,-0.8830870000000001,16.0,4.0,8.469136,4.562558999999999,104.0,-1.240359,-5.834152
1993,20191128_191420_HDR_2.jpg,68,75,61.0,0.0,51.913579999999996,11.990941000000001,61.0,-0.517005,-1.6352870000000002,72.0,0.0,53.59259300000001,13.227148999999999,112.0,-1.0585309999999999,-4.293666
866,20191128_192452_HDR_2.jpg,118,37,9.0,7.0,6.024691000000001,4.115539,9.0,-0.286904,-1.328532,17.0,7.0,7.888889,5.6742870000000005,73.0,-1.101323,-5.268053
2682,Control_A_-2.76.jpg,162,29,0.0,25.0,-3.8395059999999996,5.876206,0.0,-0.07409400000000001,-0.750526,22.0,25.0,-1.987654,7.8967,80.0,-1.15771,-5.841375
2772,20191128_191647_HDR_2.jpg,77,51,9.0,3.0,5.160494,3.504695,9.0,-0.14676,-1.0549520000000001,13.0,3.0,5.679012,4.171707,73.0,-1.08899,-5.513662
5537,20191128_192922_HDR_2.jpg,127,32,17.0,0.0,12.617284,4.324972,17.0,-0.276762,-1.3956629999999999,23.0,0.0,13.395062,5.274394,86.0,-1.134283,-5.3898150000000005
1489,Control_A_3-4.jpg,66,71,12.0,5.0,7.580247,4.342907,12.0,-0.062314999999999995,-0.646925,20.0,4.0,8.37037,4.9327440000000005,53.0,-0.91107,-4.375903
3915,20191128_191320_HDR_2.jpg,97,32,5.0,2.0,2.432099,2.078332,5.0,0.211004,-0.6730619999999999,12.0,3.0,3.5185190000000004,3.4286779999999997,96.0,-1.2123030000000001,-6.6973210000000005
6437,20191128_190910_HDR_2.jpg,98,30,12.0,6.0,7.061728,5.01195,12.0,-0.277538,-1.353365,19.0,5.0,8.790123,5.843042,103.0,-1.236316,-5.905757
2619,Control_A_3-4.jpg,102,39,11.0,5.0,6.160494,5.090433999999999,11.0,-0.277469,-1.337202,16.0,5.0,6.740741000000001,5.74301,52.0,-0.9427180000000001,-4.626937
4468,Control_A_-4.08.jpg,251,51,24.0,32.0,16.728395000000003,13.769722,24.0,-0.553558,-1.381149,50.0,32.0,24.654321,18.969215,103.0,-1.203436,-4.807982
6108,20191128_191500_HDR_2.jpg,163,50,10.0,5.0,7.074074,3.9931349999999997,10.0,-0.022363,-0.452275,17.0,5.0,7.851852,4.835851,110.0,-1.26057,-6.030914
5116,20191128_191558_HDR_2.jpg,153,39,17.0,0.0,13.444444,4.891413,17.0,-0.330044,-1.117961,27.0,0.0,14.54321,6.357749,103.0,-1.2210020000000001,-5.555814
5195,20191128_190652_HDR_2.jpg,46,59,8.0,2.0,3.37037,2.673346,8.0,-0.09813200000000001,-1.523693,10.0,3.0,3.259259,2.93879,97.0,-1.2206270000000001,-6.361842
1271,20191128_192315_HDR_2.jpg,72,43,10.0,13.0,7.0,4.669311,10.0,-0.129673,-0.945358,17.0,12.0,7.765432000000001,5.562821,96.0,-1.2049860000000001,-6.0270150000000005
2253,20191128_192452_HDR_2.jpg,101,33,5.0,6.0,3.296296,2.52124,5.0,0.065219,-0.260096,11.0,5.0,4.975308999999999,3.912548,67.0,-1.059088,-5.172326
6267,Control_A_-2.28.jpg,143,40,5.0,8.0,2.530864,3.337355,5.0,-0.120022,-0.974564,14.0,8.0,3.5185190000000004,4.508185,50.0,-0.9484799999999999,-4.90742
3449,20191128_191028_HDR_2.jpg,70,36,4.0,5.0,0.283951,2.315991,4.0,0.022735,-1.967326,7.0,5.0,0.46913599999999994,2.699275,63.0,-1.04542,-6.781586999999999
2288,20191128_192218_HDR_2.jpg,63,37,22.0,4.0,12.234568,8.264563,22.0,-0.5186970000000001,-1.7282520000000001,23.0,4.0,11.888889,8.425417,79.0,-1.1124049999999999,-4.572532
1812,Control_A_-4.08.jpg,250,49,44.0,12.0,37.148148,13.147886999999999,44.0,-0.511927,-1.348908,70.0,12.0,44.691358,18.068212,123.0,-1.20118,-4.459071
5432,Control_2_Bregma_-3.12_PS_(1x).jpg,177,38,11.0,9.0,6.135802,5.321174,11.0,-0.222951,-1.082968,20.0,8.0,7.271605,6.174444,80.0,-1.124676,-5.169376000000001
2072,20191128_191500_HDR_2.jpg,170,53,17.0,10.0,13.012346,6.109078,17.0,-0.317922,-0.995617,23.0,10.0,14.012345999999999,6.898727,119.0,-1.282846,-5.865695
3768,20191128_191647_HDR_2.jpg,103,29,5.0,4.0,1.9259259999999998,2.8099369999999997,5.0,-0.086526,-1.141347,11.0,5.0,2.666667,3.624335,77.0,-1.131277,-5.730721
702,Control_3_Bregma_-2.jpg,194,61,15.0,2.0,9.432099000000001,5.232704,15.0,-0.351434,-1.344365,21.0,2.0,9.925925999999999,5.870575,72.0,-1.075272,-4.792027
147,Control_A_3-4.jpg,232,52,6.0,9.0,2.728395,3.962828,6.0,0.11864100000000001,-0.154074,11.0,9.0,3.469136,4.763769,54.0,-0.9454530000000001,-4.87962
1997,Control_A_-4.08.jpg,281,70,12.0,24.0,8.987654,6.698983999999999,12.0,0.012818000000000001,-0.051441999999999995,34.0,24.0,16.851851999999997,11.8916,97.0,-1.179969,-4.639391000000001
3170,Control_A_-2.76.jpg,96,49,13.0,33.0,7.925926,8.318918,13.0,-0.043637,-0.579242,46.0,32.0,11.506173,12.214264,82.0,-1.103484,-5.439282
4903,20191128_191134_HDR_2.jpg,105,32,8.0,6.0,4.580247,3.946757,8.0,-0.177397,-0.9239139999999999,16.0,6.0,5.9135800000000005,4.919594,84.0,-1.156998,-5.569658
13,20191128_190910_HDR_2.jpg,103,30,15.0,1.0,11.345678999999999,4.587047,15.0,-0.25853899999999996,-1.076044,21.0,2.0,11.91358,5.207301,105.0,-1.2314049999999999,-5.657764
6239,Control_3_Bregma_-2.jpg,67,62,8.0,4.0,3.666667,3.758119,8.0,-0.17918,-1.249564,12.0,4.0,4.160494,4.341749,59.0,-1.006441,-5.005365
4420,20191128_191349_HDR_2.jpg,130,45,26.0,10.0,21.209877,9.790038000000001,26.0,-0.42654200000000003,-0.9629040000000001,42.0,10.0,25.185185,11.994969000000001,85.0,-1.077594,-4.172322
4956,Control_A_-2.76.jpg,162,30,11.0,14.0,7.148148,5.873378,11.0,-0.280981,-1.085153,33.0,14.0,9.382716,8.114258,91.0,-1.18527,-5.348387000000001
3183,20191128_192452_HDR_2.jpg,101,34,4.0,7.0,2.296296,2.52124,4.0,0.084,-0.19552,11.0,6.0,4.0740739999999995,4.020865000000001,66.0,-1.053941,-5.260148
3564,Control_A_-4.08.jpg,188,30,76.0,18.0,67.0,19.327585,76.0,-0.773277,-1.834302,120.0,17.0,76.814815,25.030407,144.0,-1.179265,-4.1759010000000005
5320,Control_3_Bregma_-2.jpg,76,56,12.0,3.0,5.938272,4.341433,12.0,-0.295696,-5.035826,19.0,3.0,6.567900999999999,4.868488,64.0,-1.029971,-6.986036
6165,20191128_190910_HDR_2.jpg,133,35,11.0,2.0,7.160494,3.7033739999999997,11.0,-0.164029,-0.9394370000000001,14.0,2.0,7.037037,3.995196,107.0,-1.255067,-5.819477
1899,20191128_191647_HDR_2.jpg,191,55,9.0,5.0,6.271605,4.006206,9.0,-0.037870999999999995,-0.31401799999999996,17.0,6.0,7.123457000000001,5.1601099999999995,97.0,-1.208468,-5.649152
5934,Control_A_-2.76.jpg,164,30,13.0,76.0,1.111111,20.317237,13.0,-0.24706,-1.1369690000000001,35.0,76.0,3.1728400000000003,22.237656,93.0,-1.17868,-5.12878
6075,20191128_191500_HDR_2.jpg,75,54,5.0,10.0,0.62963,4.17649,5.0,-0.085888,-0.878639,9.0,10.0,1.1604940000000001,4.375738,81.0,-1.148573,-5.956557
1289,20191128_191420_HDR_2.jpg,84,50,20.0,41.0,8.962963,14.116310999999998,20.0,-0.5914590000000001,-1.796082,32.0,40.0,11.08642,15.572370000000001,77.0,-1.121289,-4.455296
2831,20191128_192922_HDR_2.jpg,136,32,7.0,13.0,3.074074,5.025313,7.0,-0.23365500000000003,-0.994936,12.0,15.0,2.876543,5.757191000000001,75.0,-1.124843,-5.20714
2120,20191128_191028_HDR_2.jpg,87,32,5.0,4.0,2.333333,2.388243,5.0,0.063813,-0.741034,11.0,4.0,3.061728,3.282372,65.0,-1.0476809999999999,-5.599905000000001
5621,20191128_192452_HDR_2.jpg,86,34,7.0,2.0,5.407407,2.448369,7.0,-0.037002,-0.49516800000000005,14.0,2.0,7.148148,4.079794000000001,67.0,-1.050874,-5.099175
1125,20191128_190652_HDR_2.jpg,115,29,0.0,12.0,-1.1728399999999999,2.623682,0.0,0.48751099999999997,0.829736,10.0,12.0,1.049383,4.236529,95.0,-1.220005,-6.023949
3209,20191128_191558_HDR_2.jpg,207,71,8.0,3.0,3.8148150000000003,3.559411,8.0,-0.177551,-1.427165,14.0,3.0,4.469136,4.693274,104.0,-1.253528,-6.1537370000000005
1877,Control_A_-4.08.jpg,211,36,36.0,18.0,29.864198,13.323842,36.0,-0.6421,-1.4902549999999999,67.0,18.0,38.703703999999995,18.312409,108.0,-1.172859,-4.631872
5489,20191128_192218_HDR_2.jpg,97,31,6.0,17.0,1.530864,6.096116,6.0,-0.24156100000000003,-0.978672,26.0,16.0,5.296296,9.499116,68.0,-1.077546,-4.970066
970,20191128_192922_HDR_2.jpg,160,39,33.0,5.0,26.691358,8.744158,33.0,-0.575584,-1.574052,36.0,6.0,26.592593,9.037341,103.0,-1.181143,-4.944501
4548,Control_A_3-4.jpg,100,42,11.0,8.0,5.950617,5.431734,11.0,-0.20976799999999998,-0.892978,16.0,7.0,6.691358,6.064757,52.0,-0.9316629999999999,-4.280507
2501,20191128_191500_HDR_2.jpg,127,38,18.0,4.0,12.308641999999999,5.394652,18.0,-0.301693,-1.25506,20.0,5.0,12.320988,5.544048,109.0,-1.24537,-5.541709
787,20191128_192315_HDR_2.jpg,139,55,8.0,34.0,0.320988,10.7069,8.0,-0.474246,-1.7979509999999999,17.0,34.0,1.7530860000000001,12.008773,105.0,-1.282322,-5.509302
1818,20191128_192315_HDR_2.jpg,47,60,11.0,36.0,4.283951,11.516209,11.0,-0.197479,-1.336175,24.0,36.0,6.308642,13.213014999999999,91.0,-1.175271,-5.015365
5841,20191128_191420_HDR_2.jpg,52,94,46.0,3.0,38.975309,11.640686,46.0,-0.522745,-1.378971,53.0,4.0,41.185185,12.935845,94.0,-1.0309409999999999,-4.267646
3246,Control_A_3-4.jpg,44,84,9.0,3.0,5.148148,3.4286779999999997,9.0,-0.202185,-1.656409,13.0,3.0,5.444444,3.8232559999999998,50.0,-0.930114,-5.264168
5288,Control_A_-4.08.jpg,96,78,15.0,44.0,8.679012,12.086955999999999,15.0,-0.25758200000000003,-1.162246,54.0,44.0,13.567901,16.391761,66.0,-1.001825,-5.385281
2947,20191128_190652_HDR_2.jpg,104,28,3.0,6.0,1.703704,2.400846,3.0,0.12928900000000002,-0.227661,9.0,6.0,3.9753089999999998,4.042904,97.0,-1.218253,-7.827339
4284,20191128_192218_HDR_2.jpg,85,31,23.0,0.0,15.987654000000001,7.169024,23.0,-0.45590699999999995,-1.578963,28.0,0.0,16.259259,7.763126,83.0,-1.11309,-4.729844
237,20191128_190910_HDR_2.jpg,49,51,6.0,7.0,1.7283950000000001,3.311083,6.0,-0.12447799999999999,-1.363246,10.0,8.0,2.691358,3.7602269999999995,80.0,-1.145256,-5.962619
4451,Control_3_Bregma_-2.jpg,63,68,4.0,7.0,0.46913599999999994,3.216802,4.0,-0.151023,-1.4122290000000002,9.0,7.0,0.9629629999999999,4.261352,54.0,-0.9919,-5.656681
1189,Control_A_-4.08.jpg,115,50,24.0,29.0,16.345679,12.738743,24.0,-0.434608,-1.4343920000000001,47.0,29.0,20.666667,16.415891000000002,77.0,-1.048965,-4.191367
509,Control_A_3-4.jpg,245,57,20.0,4.0,15.790123000000001,5.87465,20.0,-0.449974,-1.758046,27.0,4.0,16.135801999999998,6.629066000000001,69.0,-1.0249030000000001,-5.401669999999999
5774,20191128_191500_HDR_2.jpg,174,56,9.0,18.0,5.308642,6.282726,9.0,-0.22770900000000002,-0.665776,14.0,18.0,6.037037000000001,7.137874000000001,111.0,-1.272638,-5.909518
5700,20191128_191500_HDR_2.jpg,165,50,8.0,7.0,5.246914,3.863507,8.0,0.01514,-0.278192,16.0,8.0,6.45679,4.724638,109.0,-1.26196,-5.766928
