,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
1694,Control_A_-2.76.jpg,143,28,8.0,20.0,2.506173,5.637449,8.0,-0.191414,-0.9708479999999999,19.0,20.0,4.308642,7.133025,89.0,-1.1881469999999998,-5.128432
1400,Control_A_3-4.jpg,250,61,18.0,4.0,12.592592999999999,6.187957,18.0,-0.39716799999999997,-1.356008,26.0,4.0,13.580247,7.159323,68.0,-1.033531,-4.4834879999999995
213,20191128_191320_HDR_2.jpg,116,30,8.0,2.0,4.271605,3.1623259999999997,8.0,-0.092766,-1.431323,13.0,3.0,4.370369999999999,3.429878,101.0,-1.236966,-6.566396000000001
5399,20191128_190652_HDR_2.jpg,65,37,7.0,6.0,2.8271599999999997,3.654154,7.0,-0.168407,-1.336849,10.0,6.0,3.4567900000000003,4.024767,100.0,-1.241049,-6.293773000000001
4180,20191128_192452_HDR_2.jpg,170,57,6.0,6.0,3.987654,3.077171,6.0,0.14661,0.112698,14.0,6.0,6.6666669999999995,4.998765000000001,77.0,-1.107319,-5.101166
2638,20191128_191647_HDR_2.jpg,111,28,10.0,3.0,6.432099,3.9061150000000002,10.0,-0.187104,-1.074343,13.0,4.0,6.432099,4.402408,83.0,-1.148996,-5.473789
6009,Control_A_3-4.jpg,95,44,14.0,5.0,8.283951,5.176476999999999,14.0,-0.35633899999999996,-1.5464129999999998,17.0,5.0,8.172839999999999,5.46095,54.0,-0.95283,-4.507432
2059,20191128_191118_HDR_2.jpg,80,35,7.0,2.0,4.950617,2.656932,7.0,-0.023365,-0.47046400000000005,15.0,2.0,6.506173,4.489008,69.0,-1.0637530000000002,-5.130987999999999
2936,20191128_191118_HDR_2.jpg,58,43,6.0,4.0,3.5432099999999997,2.775774,6.0,0.073813,-0.41522299999999995,10.0,5.0,3.925926,3.3656870000000003,64.0,-1.03326,-5.297699
5278,Control_3_Bregma_-2.jpg,188,58,13.0,6.0,6.753086,5.26233,13.0,-0.31066,-1.4660799999999998,17.0,6.0,7.444444,5.864730000000001,70.0,-1.069182,-4.910785
1958,Control_A_3-4.jpg,62,76,11.0,1.0,6.728395,3.439108,11.0,-0.150612,-1.227609,15.0,1.0,7.037037,3.8887129999999996,52.0,-0.9249,-4.837594999999999
4003,20191128_191500_HDR_2.jpg,179,58,15.0,0.0,11.790123,4.367998,15.0,-0.233156,-0.841908,22.0,0.0,12.209877,5.33036,118.0,-1.284082,-5.891302
2615,20191128_192218_HDR_2.jpg,45,47,21.0,2.0,13.370370000000001,6.637797999999999,21.0,-0.454428,-1.66408,23.0,4.0,13.333332999999998,6.842135000000001,74.0,-1.068208,-4.6838809999999995
1276,Control_A_-4.08.jpg,42,102,15.0,32.0,10.716049,8.6084,15.0,-0.353196,-0.9278360000000001,33.0,31.0,16.567901000000003,12.074806,62.0,-0.9822110000000001,-3.827307
3237,Control_3_Bregma_-2.jpg,104,36,9.0,4.0,3.9135800000000005,3.852841,9.0,-0.220625,-1.588889,13.0,4.0,3.5432099999999997,4.193026000000001,64.0,-1.042345,-5.437444999999999
1866,20191128_192218_HDR_2.jpg,93,30,9.0,14.0,3.753086,6.225258999999999,9.0,-0.325201,-1.2751,18.0,14.0,5.185185,7.825427,70.0,-1.089987,-5.128522
660,20191128_192922_HDR_2.jpg,117,31,13.0,5.0,9.172839999999999,4.666111,13.0,-0.177032,-0.910582,19.0,7.0,9.987654,6.058346,79.0,-1.104981,-5.049733
4101,Control_3_Bregma_-2.jpg,52,75,1.0,14.0,-2.641975,3.221489,1.0,0.20361500000000002,-1.129345,5.0,14.0,-2.876543,3.60515,51.0,-0.968413,-5.26255
4185,Control_A_3-4.jpg,191,38,17.0,3.0,11.91358,6.387096,17.0,-0.415447,-1.343456,22.0,3.0,12.074074000000001,6.870545,61.0,-0.997073,-4.392967
4423,20191128_191349_HDR_2.jpg,88,48,18.0,28.0,7.7901229999999995,12.950728999999999,18.0,-0.580929,-1.8003529999999999,31.0,27.0,9.962963,14.181752,68.0,-1.076192,-4.278487999999999
2094,20191128_191500_HDR_2.jpg,129,38,22.0,0.0,16.666667,5.319426,22.0,-0.391947,-1.505798,25.0,0.0,17.061728,5.439557,114.0,-1.255274,-5.674804
4245,20191128_191420_HDR_2.jpg,97,39,15.0,29.0,8.308641999999999,11.480141,15.0,-0.5214489999999999,-1.263303,24.0,30.0,10.938272,13.497457999999998,76.0,-1.115007,-4.335097
4384,20191128_191118_HDR_2.jpg,48,49,4.0,4.0,2.049383,2.324859,4.0,0.08358,-0.344275,12.0,4.0,3.209877,3.230702,61.0,-1.022546,-5.270823
